Datetime,DAM_Price,DAM_Volume,IDA1_Price,IDA1_Volume,IDA2_Price,IDA2_Volume,IDA3_Price,IDA3_Volume,ISP,DAM_Spread_to_ISP,IDA1_Spread_to_ISP,IDA2_Spread_to_ISP,IDA3_Spread_to_ISP,GB_DA_Price,SystemDemand,WindGeneration,SolarGeneration,CO2Intensity,InterconnectorFlow,SNSP_Pct,SRMC,SparkSpread
2026-08-31 17:30:00,212.89,1100.0,257.89,712.2,242.67,107.9,241.43,6.9,127.14,85.74999999999999,130.75,115.52999999999999,114.29,159.58,5294.0,1195.0,539.5,147.5,1485.5,50.63279183981866,91.28,121.60999999999999
2026-08-31 18:00:00,225.24,1056.3,252.03,736.9,238.46,115.1,239.63,12.1,103.17,122.07000000000001,148.86,135.29000000000002,136.45999999999998,196.7,5325.0,1128.5,431.5,153.0,1485.0,49.07981220657277,91.28,133.96
2026-08-31 18:30:00,231.87,1032.1,248.4,742.0,242.67,92.3,251.9,11.8,231.79,0.0800000000000125,16.610000000000014,10.879999999999995,20.110000000000014,196.7,5308.0,1215.5,275.5,152.5,1485.0,50.87603617181613,91.28,140.59
2026-08-31 19:00:00,225.0,1050.9,237.96,719.5,215.72,108.1,242.67,29.7,307.85,-82.85000000000002,-69.89000000000001,-92.13000000000002,-65.18000000000004,198.08,5299.0,1143.5,133.0,158.5,1448.5,48.91488960181166,91.28,133.72
2026-08-31 19:30:00,230.01,1061.6,230.01,716.8,213.43,111.4,255.0,29.7,437.88,-207.87,-207.87,-224.45,-182.88,198.08,5308.0,1109.0,47.0,165.5,1417.0,47.588545591559914,91.28,138.73
2026-08-31 20:00:00,230.01,1030.5,215.0,677.1,192.89,102.3,255.0,37.4,352.87,-122.86000000000001,-137.87,-159.98000000000002,-97.87,196.68,5310.0,1072.5,15.5,167.0,1412.0,46.78907721280602,91.28,138.73
2026-08-31 20:30:00,235.0,1118.4,236.71,748.2,240.83,74.3,246.55,11.7,372.27,-137.26999999999998,-135.55999999999997,-131.43999999999997,-125.71999999999997,196.68,5346.5,1128.5,2.0,165.5,1481.5,48.816983073038436,91.28,143.72
2026-08-31 21:00:00,233.83,1091.8,228.83,709.9,191.04,102.3,235.0,30.3,524.71,-290.88,-295.88,-333.6700000000001,-289.71000000000004,186.19,5284.5,1148.5,2.0,165.0,1477.5,49.69249692496925,91.28,142.55
2026-08-31 21:30:00,214.7,1130.7,222.72,732.9,174.7,85.6,167.0,7.6,321.08,-106.38,-98.35999999999999,-146.38,-154.07999999999998,186.19,5043.0,1218.0,2.0,166.0,1356.5,51.05096172912948,91.28,123.41999999999999
2026-08-31 22:00:00,201.0,1102.6,187.6,680.5,183.59,75.9,165.23,13.3,279.42,-78.42000000000002,-91.82000000000002,-95.83000000000001,-114.19000000000003,160.11,4787.5,1226.0,2.0,172.0,1306.5,52.898172323759795,91.28,109.72
2026-08-31 22:30:00,179.35,1113.5,173.2,757.7,161.21,32.7,145.0,27.9,126.44,52.91,46.75999999999999,34.77000000000001,18.560000000000002,160.11,4530.0,1212.5,2.0,180.0,1221.5,53.73068432671082,91.28,88.07
2026-08-31 23:00:00,180.62,1338.4,173.4,483.4,,,,,235.11,-54.49000000000001,-61.71000000000001,,,169.13,4367.0,1251.5,2.0,183.5,1073.0,53.22876116326998,91.28,89.34
2026-08-31 23:30:00,174.87,1254.0,168.23,365.4,,,,,246.26,-71.38999999999999,-78.03,,,169.13,4228.0,1385.0,2.0,187.5,880.0,53.57142857142857,91.28,83.59
2026-09-01 00:00:00,170.01,1226.4,171.77,371.2,,,,,246.32,-76.31,-74.54999999999998,,,162.24,4103.5,1394.0,2.0,193.5,852.5,54.745948580480075,91.28,78.72999999999999
2026-09-01 00:30:00,165.0,1232.2,166.37,379.0,,,,,246.25,-81.25,-79.88,,,162.24,4021.0,1416.5,2.0,200.0,717.5,53.07137527978115,91.28,73.72
2026-09-01 01:00:00,160.87,1181.7,159.41,316.6,,,,,246.0,-85.13,-86.59,,,155.02,3942.0,1478.5,2.0,199.0,648.0,53.94469812278031,91.28,69.59
2026-09-01 01:30:00,158.0,1139.6,157.11,261.0,,,,,246.0,-88.0,-88.88999999999999,,,155.02,3875.0,1529.5,2.0,202.0,547.0,53.58709677419354,91.28,66.72
2026-09-01 02:00:00,158.57,1240.4,156.95,365.7,,,,,246.15,-87.58000000000001,-89.20000000000002,,,151.84,3955.0,1561.0,2.0,194.5,628.5,55.36030341340076,91.28,67.28999999999999
2026-09-01 02:30:00,155.34,1132.8,155.06,264.2,,,,,233.42,-78.07999999999998,-78.35999999999999,,,151.84,3988.0,1580.5,2.0,197.5,552.5,53.48545636910732,91.28,64.06
2026-09-01 03:00:00,154.14,1096.6,155.4,181.1,,,,,232.03,-77.89000000000001,-76.63,,,152.85,3969.0,1572.5,2.0,203.0,486.0,51.8644494834971,91.28,62.859999999999985
2026-09-01 03:30:00,154.78,1114.0,151.65,184.1,,,,,244.39,-89.60999999999999,-92.73999999999998,,,152.85,3899.5,1557.5,2.0,206.0,438.5,51.18604949352481,91.28,63.5
2026-09-01 04:00:00,160.01,1129.4,163.82,171.6,,,,,215.8,-55.79000000000002,-51.98000000000002,,,159.78,3851.5,1565.0,2.0,215.0,319.0,48.91600675061664,91.28,68.72999999999999
2026-09-01 04:30:00,161.05,1061.2,163.09,140.2,,,,,277.24,-116.19,-114.15,,,159.78,3801.0,1594.0,2.0,221.0,203.0,47.277032359905284,91.28,69.77000000000001
2026-09-01 05:00:00,179.0,1230.2,195.68,246.5,,,,,227.44,-48.44,-31.75999999999999,,,179.1,3805.5,1570.5,2.0,218.0,262.5,48.16712652739456,91.28,87.72
2026-09-01 05:30:00,180.36,1142.5,203.68,173.9,,,,,159.63,20.730000000000018,44.05000000000001,,,179.1,3880.5,1574.5,2.0,214.5,322.5,48.88545290555341,91.28,89.08000000000001
2026-09-01 06:00:00,196.01,1297.0,206.8,359.8,,,,,67.42,128.58999999999997,139.38,,,195.25,4061.5,1613.0,2.0,211.5,348.0,48.28265419180106,91.28,104.72999999999999
2026-09-01 06:30:00,196.48,1155.4,190.35,181.8,,,,,72.6,123.88,117.75,,,195.25,4290.0,1624.5,3.5,210.0,332.0,45.60606060606061,91.28,105.19999999999999
2026-09-01 07:00:00,200.8,1286.8,225.54,373.8,,,,,83.5,117.30000000000001,142.04,,,196.12,4677.0,1635.0,29.5,188.5,722.0,50.395552704725255,91.28,109.52000000000001
2026-09-01 07:30:00,204.0,1329.1,205.15,335.6,,,,,81.91,122.09,123.24000000000001,,,196.12,4991.0,1669.0,95.0,175.0,951.5,52.504508114606296,91.28,112.72
2026-09-01 08:00:00,199.36,1421.8,191.75,517.2,,,,,103.65,95.71000000000001,88.1,,,165.96,5147.5,1501.5,174.0,170.5,1184.5,52.180670228266145,91.28,108.08000000000001
2026-09-01 08:30:00,185.0,1405.1,168.7,455.9,,,,,112.97,72.03,55.72999999999999,,,165.96,5188.5,1538.5,287.5,160.5,1200.0,52.78018695191289,91.28,93.72
2026-09-01 09:00:00,205.22,1610.4,174.33,671.7,,,,,108.37,96.85,65.96000000000001,,,138.99,5205.5,1491.5,462.5,141.0,1409.0,55.719911631927765,91.28,113.94
2026-09-01 09:30:00,174.04,1627.0,160.9,657.7,,,,,115.32,58.72,45.58000000000001,,,138.99,5218.5,1590.0,613.5,123.0,1485.0,58.924978442081056,91.28,82.75999999999999
2026-09-01 10:00:00,150.0,1644.5,120.0,632.9,,,,,94.19,55.81,25.810000000000002,,,96.11,5150.0,1567.0,708.5,119.5,1448.5,58.55339805825243,91.28,58.72
2026-09-01 10:30:00,142.89,1709.3,120.0,685.3,,,,,89.12,53.76999999999998,30.879999999999995,,,96.11,5100.0,1683.0,695.0,120.0,1338.0,59.235294117647065,91.28,51.609999999999985
2026-09-01 11:00:00,148.06,1783.7,125.0,695.2,124.06,53.0,,,101.94,46.120000000000005,23.060000000000002,22.120000000000005,,74.71,5116.5,1731.5,704.5,123.0,1337.0,59.97263754519692,91.28,56.78
2026-09-01 11:30:00,141.36,1807.3,125.0,714.8,121.09,41.9,,,99.73,41.63000000000001,25.269999999999996,21.36,,74.71,5074.5,1701.5,659.5,133.5,1338.5,59.90738003744212,91.28,50.08000000000001
2026-09-01 12:00:00,142.89,1797.7,140.44,704.4,122.89,32.3,,,39.18,103.70999999999998,101.25999999999999,83.71000000000001,,68.45,5093.5,1684.5,644.0,135.5,1338.0,59.34033572199863,91.28,51.609999999999985
2026-09-01 12:30:00,142.89,1810.9,148.11,732.1,135.0,34.8,,,53.83,89.05999999999999,94.28000000000002,81.17,,68.45,5077.5,1619.5,671.0,143.0,1338.0,58.247168882323976,91.28,51.609999999999985
2026-09-01 13:00:00,146.72,1839.4,148.11,728.5,136.7,49.4,,,44.43,102.28999999999999,103.68,92.26999999999998,,66.72,5069.5,1661.0,615.0,144.5,1337.5,59.14784495512377,91.28,55.44
2026-09-01 13:30:00,146.72,1831.2,148.11,728.2,135.0,52.3,,,49.0,97.72,99.11000000000001,86.0,,66.72,4983.0,1530.5,560.0,155.5,1337.0,57.545655227774425,91.28,55.44
2026-09-01 14:00:00,148.3,1846.0,155.44,798.2,125.0,34.9,,,77.29,71.01,78.14999999999999,47.709999999999994,,68.31,5040.0,1485.5,531.5,158.0,1338.0,56.0218253968254,91.28,57.02000000000001
2026-09-01 14:30:00,149.0,1740.2,154.62,733.4,133.15,40.3,,,108.62,40.379999999999995,46.0,24.53,,68.31,5086.5,1436.0,536.0,150.5,1337.5,54.52668829253907,91.28,57.72
2026-09-01 15:00:00,143.78,1601.7,154.62,701.5,148.78,46.3,,,91.77,52.010000000000005,62.85000000000001,57.010000000000005,,102.13,5181.0,1395.0,437.5,154.5,1386.5,53.68654699864891,91.28,52.5
2026-09-01 15:30:00,152.29,1498.6,164.1,592.6,168.2,51.7,,,99.06,53.22999999999999,65.03999999999999,69.13999999999999,,102.13,5262.5,1433.0,420.5,156.0,1399.0,53.81472684085511,91.28,61.00999999999999
2026-09-01 16:00:00,160.17,1411.9,165.51,594.9,165.0,26.6,,,111.78,48.389999999999986,53.72999999999999,53.22,,140.87,5378.0,1442.5,399.0,152.5,1484.5,54.425436965414654,91.28,68.88999999999999
2026-09-01 16:30:00,191.67,1425.7,217.66,585.2,242.04,90.8,,,114.4,77.26999999999998,103.25999999999999,127.63999999999999,,140.87,5469.0,1476.5,368.0,156.0,1484.0,54.13238251965624,91.28,100.38999999999999
2026-09-01 17:00:00,190.53,1296.0,213.08,566.1,238.08,46.6,191.07,6.3,124.78,65.75,88.30000000000001,113.30000000000001,66.28999999999999,175.22,5563.5,1447.5,354.5,159.5,1484.0,52.69165093915701,91.28,99.25
2026-09-01 17:30:00,232.27,1393.5,272.27,610.7,301.46,63.8,255.0,9.0,121.81,110.46000000000001,150.45999999999998,179.64999999999998,133.19,175.22,5579.5,1291.5,326.5,165.0,1484.0,49.744600770678375,91.28,140.99
2026-09-01 18:00:00,247.27,1452.6,258.3,662.9,295.0,37.3,295.0,29.8,175.66,71.61000000000001,82.64000000000001,119.34,119.34,219.08,5565.0,1161.5,245.5,168.5,1484.0,47.5381850853549,91.28,155.99
2026-09-01 18:30:00,262.92,1399.4,295.0,641.1,293.41,35.9,334.68,23.3,361.03,-98.10999999999996,-66.02999999999997,-67.61999999999995,-26.349999999999966,219.08,5517.5,1050.0,151.0,175.5,1484.0,45.92659719075669,91.28,171.64000000000001
2026-09-01 19:00:00,252.4,1245.4,264.4,592.9,266.84,61.1,280.0,14.8,370.8,-118.4,-106.40000000000003,-103.96000000000004,-90.80000000000001,221.09,5492.0,904.5,77.5,179.5,1484.0,43.4905316824472,91.28,161.12
2026-09-01 19:30:00,252.29,1203.2,263.3,576.1,279.11,60.0,320.16,14.2,382.36,-130.07000000000002,-119.06,-103.25,-62.19999999999999,221.09,5476.5,840.5,37.0,181.5,1484.0,42.44499223956907,91.28,161.01
2026-09-01 20:00:00,268.76,1252.2,279.8,615.4,295.0,59.0,305.0,16.2,481.76,-213.0,-201.95999999999998,-186.76,-176.76,219.1,5460.0,826.5,9.5,180.0,1484.0,42.31684981684982,91.28,177.48
2026-09-01 20:30:00,270.0,1290.1,291.19,647.1,288.32,48.2,322.0,23.4,473.62,-203.62,-182.43,-185.3,-151.62,219.1,5509.0,753.0,2.0,184.0,1484.0,40.60628063169359,91.28,178.72
2026-09-01 21:00:00,269.23,1295.7,275.0,632.6,275.0,64.5,340.0,23.5,553.36,-284.13,-278.36,-278.36,-213.36,205.55,5414.5,735.0,2.0,187.0,1484.0,40.9825468648998,91.28,177.95000000000002
2026-09-01 21:30:00,246.01,1307.1,240.01,654.7,235.0,41.5,238.0,17.0,494.51,-248.5,-254.5,-259.51,-256.51,205.55,5182.0,807.0,2.0,191.0,1484.0,44.210729448089545,91.28,154.73
2026-09-01 22:00:00,243.53,1298.4,213.78,619.8,194.43,49.8,200.73,19.1,257.37,-13.840000000000003,-43.59,-62.94,-56.640000000000015,191.55,4926.5,813.5,2.0,189.5,1484.0,46.63554247437329,91.28,152.25
2026-09-01 22:30:00,211.88,1226.6,194.72,684.4,162.36,33.3,170.0,32.9,140.38,71.5,54.34,21.980000000000018,29.620000000000005,191.55,4715.0,809.0,2.0,193.5,1469.0,48.31389183457052,91.28,120.6
